seed,cond,method,ece,brier,nll
16,img_subset,static_temp,0.20973569024935323,0.2905934115321446,0.9551743166075569
16,img_subset,transcal,0.22454819312907964,0.30107326838895154,1.0866205821731796
16,img_subset,mora_global,0.16167065355596394,0.2668980167040562,0.7594308575895257
16,img_subset,mora_permod,0.15668457361045357,0.2656288540022649,0.7553864825897653
16,clin_subset,uncalibrated,0.19742164763335115,0.2833144237935136,0.8108239250134045
16,clin_subset,static_temp,0.12408182933020652,0.25455140804516824,0.7074529399623016
16,clin_subset,transcal,0.15708441968091028,0.2637992448370629,0.7361491831611241
16,clin_subset,mora_global,0.09128537621788753,0.2453360058966145,0.6840122898567783
16,clin_subset,mora_permod,0.09101967839273385,0.24763139503710546,0.6885925637606556
17,clean,uncalibrated,0.1582704070688311,0.2586255644632229,0.7338676324893711
17,clean,static_temp,0.09904209765289126,0.24039546392961167,0.6737663157919022
17,clean,transcal,0.09361596041199133,0.24606225192268463,0.6905295877485491
17,clean,mora_global,0.09617139143203073,0.24126167622999511,0.6755540497234924
17,clean,mora_permod,0.08719884534021367,0.24141572404798822,0.6758646499505703
17,img_subset,uncalibrated,0.3164171464862027,0.35415347078739545,1.5123916369836077
17,img_subset,static_temp,0.16628957462296792,0.2872755275343141,0.8113289686298999
17,img_subset,transcal,0.22949768882691945,0.330966039508197,1.166445361018639
17,img_subset,mora_global,0.14967379741954454,0.2746157507006217,0.7593893097645372
17,img_subset,mora_permod,0.14448233798789173,0.2743925035901664,0.7584364065375204
17,clin_subset,uncalibrated,0.15730952914050506,0.25030616547020346,0.7332850125235437
17,clin_subset,static_temp,0.1140764485430607,0.23626309830028244,0.6654582974344282
17,clin_subset,transcal,0.1333380267582464,0.24002930519157303,0.6833806263910551
17,clin_subset,mora_global,0.09725907207205418,0.23804106960443747,0.6690837127091152
17,clin_subset,mora_permod,0.11672135160910352,0.23803366561335734,0.6690817634257703
18,clean,uncalibrated,0.16792282150847984,0.2601284099963171,0.7508548733288988
18,clean,static_temp,0.10289864675270477,0.2446575948180143,0.6825202693483421
18,clean,transcal,0.08536696907103301,0.24634038555457202,0.6858356569850589
18,clean,mora_global,0.06431747789399,0.24272850071477972,0.6786453439809852
18,clean,mora_permod,0.0739241423645259,0.24304889126804377,0.6792967159504398
18,img_subset,uncalibrated,0.2981188288708199,0.3310322197132673,1.417190351095962
18,img_subset,static_temp,0.13785917916446405,0.2613316174277089,0.7233388188846969
18,img_subset,transcal,0.1365492280788566,0.2544510391452799,0.7034973623809153
18,img_subset,mora_global,0.13427884785652902,0.2628930119499289,0.7296504209810586
18,img_subset,mora_permod,0.13076682894980815,0.2631202492539887,0.7302059692463277
18,clin_subset,uncalibrated,0.18812722708403584,0.25917942373527053,0.7517106105557323
18,clin_subset,static_temp,0.08780738638599744,0.243655769592017,0.6804987549751274
18,clin_subset,transcal,0.08439458356036918,0.24568499963764226,0.6845204196334256
18,clin_subset,mora_global,0.07298386005850582,0.24276718988926266,0.6787715447661927
18,clin_subset,mora_permod,0.07771730071435386,0.2426227466063498,0.6784641441085788
19,clean,uncalibrated,0.17054311507202213,0.2684118668490364,0.807605693083428
19,clean,static_temp,0.14549766523806149,0.24760852037019715,0.6904594832583021
19,clean,transcal,0.13990374722264154,0.24869794127146153,0.6945502525643052
19,clean,mora_global,0.13463956739009164,0.24753671341007585,0.6906035324194694
19,clean,mora_permod,0.1347208343105295,0.24714807694599364,0.689639514422896
19,img_subset,uncalibrated,0.28262372959346815,0.3482801233986594,1.462631801247873
19,img_subset,static_temp,0.2370543002981892,0.287924626532034,0.8043019732164186
19,img_subset,transcal,0.2362310488024518,0.2969745513981469,0.8476629532301958
19,img_subset,mora_global,0.22584224846917872,0.28490373705880623,0.7938188735566708
19,img_subset,mora_permod,0.22878395359990722,0.2843872031941875,0.7917562932886879
19,clin_subset,uncalibrated,0.1724514684682938,0.2752962680892881,0.8345926036443729
19,clin_subset,static_temp,0.13419755720171542,0.2476856872128688,0.6909918379602802
19,clin_subset,transcal,0.14476653962640942,0.24915550408221437,0.6961282655695283
19,clin_subset,mora_global,0.13393465589479395,0.24756857577983288,0.6906867647942186
19,clin_subset,mora_permod,0.13313116153359186,0.24725843849332851,0.6895974845916859
